TimeSlice	Time	L Knee ext Ia	L Knee flx Ia	L Knee ext Ia IN	L Knee flx Ia IN	L Knee flx Ib	L Knee ext Ib	L Knee MN ext	L Knee MN flx	L Knee MN ext RE	L Knee MN flx RE
132	0.0264	-0.0604371	-0.0606447	-0.0599987	-0.0599979	-0.0599779	-0.0593	-0.0896379	-0.0969568	-0.0563517	-0.0569002
133	0.0266	-0.0604339	-0.0606442	-0.0599987	-0.0599979	-0.0599788	-0.0593054	-0.0895166	-0.0969178	-0.0563263	-0.0568866
134	0.0268	-0.0604307	-0.0606437	-0.0599987	-0.0599979	-0.0599796	-0.0593106	-0.089395	-0.096874	-0.0563007	-0.0568728
135	0.027	-0.0604276	-0.060643	-0.0599987	-0.0599979	-0.0599804	-0.0593164	-0.0892733	-0.0968258	-0.0562748	-0.0568587
136	0.0272	-0.0604246	-0.0606421	-0.0599987	-0.0599979	-0.0599812	-0.0593219	-0.0891517	-0.0967738	-0.0562487	-0.0568443
137	0.0274	-0.0604217	-0.0606412	-0.0599987	-0.0599979	-0.0599819	-0.0593273	-0.0890303	-0.0967184	-0.0562224	-0.0568296
138	0.0276	-0.0604189	-0.0606402	-0.0599987	-0.0599979	-0.0599826	-0.0593324	-0.0889094	-0.09666	-0.0561959	-0.0568146
139	0.0278	-0.0604162	-0.0606392	-0.0599987	-0.0599979	-0.0599833	-0.0593373	-0.0887889	-0.096599	-0.0561692	-0.0567993
140	0.028	-0.0604135	-0.0606381	-0.0599987	-0.0599979	-0.059984	-0.0593428	-0.088669	-0.0965358	-0.0561424	-0.0567837
141	0.0282	-0.060411	-0.060637	-0.0599987	-0.0599979	-0.0599846	-0.059348	-0.0885498	-0.0964708	-0.0561154	-0.0567679
142	0.0284	-0.0604086	-0.0606359	-0.0599987	-0.0599979	-0.0599852	-0.0593531	-0.0884316	-0.0964043	-0.0560882	-0.0567518
143	0.0286	-0.0604062	-0.0606348	-0.0599987	-0.0599979	-0.0599858	-0.0593579	-0.0883143	-0.0963365	-0.0560609	-0.0567354
144	0.0288	-0.060404	-0.0606338	-0.0599987	-0.0599979	-0.0599863	-0.0593626	-0.0881981	-0.0962679	-0.0560336	-0.0567188
145	0.029	-0.0604019	-0.0606328	-0.0599987	-0.0599979	-0.0599869	-0.0593678	-0.088083	-0.0961986	-0.0560061	-0.056702
146	0.0292	-0.0604	-0.0606318	-0.0599987	-0.0599979	-0.0599874	-0.0593727	-0.0879692	-0.0961288	-0.0559785	-0.0566849
147	0.0294	-0.0603981	-0.0606309	-0.0599987	-0.0599979	-0.0599879	-0.0593775	-0.0878567	-0.0960589	-0.0559509	-0.0566676
148	0.0296	-0.0603964	-0.06063	-0.0599987	-0.0599979	-0.0599884	-0.0593821	-0.0877455	-0.095989	-0.0559232	-0.0566501
149	0.0298	-0.0603948	-0.0606293	-0.0599987	-0.0599979	-0.0599888	-0.0593865	-0.0876358	-0.0959194	-0.0558955	-0.0566324
150	0.03	-0.0603933	-0.0606286	-0.0599987	-0.0599979	-0.0599893	-0.0593914	-0.0875276	-0.0958501	-0.0558677	-0.0566145
151	0.0302	-0.060392	-0.060628	-0.0599987	-0.0599979	-0.0599897	-0.0593961	-0.0874209	-0.0957814	-0.0558399	-0.0565965
152	0.0304	-0.0603908	-0.0606275	-0.0599987	-0.0599979	-0.0599901	-0.0594007	-0.0873158	-0.0957133	-0.0558121	-0.0565783
153	0.0306	-0.0603897	-0.0606271	-0.0599987	-0.0599979	-0.0599905	-0.059405	-0.0872123	-0.0956462	-0.0557844	-0.0565599
154	0.0308	-0.0603887	-0.0606268	-0.0599987	-0.0599979	-0.0599908	-0.0594092	-0.0871105	-0.0955799	-0.0557566	-0.0565414
155	0.031	-0.0603879	-0.0606267	-0.0599987	-0.0599979	-0.0599912	-0.0594139	-0.0870102	-0.0955147	-0.0557288	-0.0565228
156	0.0312	-0.0603871	-0.0606266	-0.0599987	-0.0599979	-0.0599916	-0.0594184	-0.0869116	-0.0954507	-0.0557011	-0.056504
157	0.0314	-0.0603865	-0.0606267	-0.0599987	-0.0599979	-0.0599919	-0.0594227	-0.0868147	-0.0953878	-0.0556734	-0.0564851
158	0.0316	-0.0603861	-0.0606268	-0.0599987	-0.0599979	-0.0599922	-0.0594268	-0.0867195	-0.0953263	-0.0556457	-0.0564662
159	0.0318	-0.0603857	-0.0606271	-0.0599987	-0.0599979	-0.0599925	-0.0594308	-0.0866259	-0.0952661	-0.0556182	-0.0564471
160	0.032	-0.0603855	-0.0606276	-0.0599987	-0.0599979	-0.0599928	-0.0594352	-0.0865339	-0.0952074	-0.0555906	-0.056428
161	0.0322	-0.0603853	-0.0606281	-0.0599987	-0.0599979	-0.0599931	-0.0594395	-0.0864437	-0.0951501	-0.0555632	-0.0564088
