TimeSlice	Time	L Knee PF flx IN	L Knee PF ext IN	L Knee PF flx	L Knee PF ext
14733	2.9466	-0.06	-0.057106	-0.0601969	-0.0578556
14734	2.9468	-0.06	-0.0571065	-0.0601962	-0.057856
14735	2.947	-0.06	-0.057107	-0.0601955	-0.0578564
14736	2.9472	-0.06	-0.0571075	-0.0601948	-0.0578568
14737	2.9474	-0.06	-0.057108	-0.0601941	-0.0578572
14738	2.9476	-0.06	-0.0571085	-0.0601934	-0.0578576
14739	2.9478	-0.06	-0.057109	-0.0601927	-0.057858
14740	2.948	-0.06	-0.0571095	-0.060192	-0.0578584
14741	2.9482	-0.06	-0.05711	-0.0601913	-0.0578588
14742	2.9484	-0.06	-0.0571105	-0.0601907	-0.0578592
14743	2.9486	-0.06	-0.057111	-0.06019	-0.0578596
14744	2.9488	-0.06	-0.0571115	-0.0601893	-0.05786
14745	2.949	-0.06	-0.0571119	-0.0601886	-0.0578603
14746	2.9492	-0.06	-0.0571124	-0.060188	-0.0578607
14747	2.9494	-0.06	-0.0571129	-0.0601873	-0.0578611
14748	2.9496	-0.06	-0.0571134	-0.0601866	-0.0578615
14749	2.9498	-0.06	-0.0571139	-0.060186	-0.0578619
14750	2.95	-0.06	-0.0571143	-0.0601853	-0.0578622
14751	2.9502	-0.06	-0.0571148	-0.0601846	-0.0578626
14752	2.9504	-0.06	-0.0571153	-0.060184	-0.057863
14753	2.9506	-0.06	-0.0571157	-0.0601833	-0.0578634
14754	2.9508	-0.06	-0.0571162	-0.0601827	-0.0578637
14755	2.951	-0.06	-0.0571167	-0.060182	-0.0578641
14756	2.9512	-0.06	-0.0571171	-0.0601814	-0.0578645
14757	2.9514	-0.06	-0.0571176	-0.0601807	-0.0578648
14758	2.9516	-0.06	-0.0571181	-0.0601801	-0.0578652
14759	2.9518	-0.06	-0.0571185	-0.0601794	-0.0578655
14760	2.952	-0.06	-0.057119	-0.0601788	-0.0578659
14761	2.9522	-0.06	-0.0571194	-0.0601782	-0.0578663
14762	2.9524	-0.06	-0.0571199	-0.0601775	-0.0578666
14763	2.9526	-0.06	-0.0571203	-0.0601769	-0.057867
14764	2.9528	-0.06	-0.0571208	-0.0601763	-0.0578673
14765	2.953	-0.06	-0.0571212	-0.0601756	-0.0578677
14766	2.9532	-0.06	-0.0571217	-0.060175	-0.057868
14767	2.9534	-0.06	-0.0571221	-0.0601744	-0.0578684
14768	2.9536	-0.06	-0.0571225	-0.0601738	-0.0578687
14769	2.9538	-0.06	-0.057123	-0.0601731	-0.0578691
14770	2.954	-0.06	-0.0571234	-0.0601725	-0.0578694
14771	2.9542	-0.06	-0.0571238	-0.0601719	-0.0578698
14772	2.9544	-0.06	-0.0571243	-0.0601713	-0.0578701
14773	2.9546	-0.06	-0.0571247	-0.0601707	-0.0578704
