TimeSlice	Time	L Knee ext Ia	L Knee flx Ia	L Knee ext Ia IN	L Knee flx Ia IN	L Knee flx Ib	L Knee ext Ib	L Knee MN ext	L Knee MN flx	L Knee MN ext RE	L Knee MN flx RE
158	0.0316	-0.0601163	-0.0606837	-0.0599987	-0.0599979	-0.0599925	-0.058159	-0.0776861	-0.0976608	-0.0548371	-0.0567937
159	0.0318	-0.0601156	-0.060686	-0.0599987	-0.0599979	-0.0599928	-0.0581596	-0.0775896	-0.0976643	-0.0548084	-0.0567808
160	0.032	-0.060115	-0.0606884	-0.0599987	-0.0599979	-0.0599931	-0.0581606	-0.0774939	-0.0976673	-0.0547797	-0.0567677
161	0.0322	-0.0601144	-0.0606908	-0.0599987	-0.0599979	-0.0599933	-0.0581616	-0.0773992	-0.0976699	-0.0547511	-0.0567547
162	0.0324	-0.0601139	-0.0606932	-0.0599987	-0.0599979	-0.0599936	-0.0581625	-0.0773055	-0.0976721	-0.0547226	-0.0567415
163	0.0326	-0.0601134	-0.0606956	-0.0599987	-0.0599979	-0.0599939	-0.0581634	-0.0772126	-0.0976739	-0.0546942	-0.0567283
164	0.0328	-0.0601129	-0.060698	-0.0599987	-0.0599979	-0.0599941	-0.0581643	-0.0771206	-0.0976753	-0.0546658	-0.056715
165	0.033	-0.0601125	-0.0607005	-0.0599987	-0.0599979	-0.0599943	-0.0581656	-0.0770295	-0.0976763	-0.0546376	-0.0567016
166	0.0332	-0.0601121	-0.060703	-0.0599987	-0.0599979	-0.0599946	-0.0581668	-0.0769393	-0.097677	-0.0546095	-0.0566882
167	0.0334	-0.0601117	-0.0607055	-0.0599987	-0.0599979	-0.0599948	-0.058168	-0.07685	-0.0976773	-0.0545814	-0.0566748
168	0.0336	-0.0601114	-0.060708	-0.0599987	-0.0599979	-0.059995	-0.0581692	-0.0767615	-0.0976772	-0.0545535	-0.0566612
169	0.0338	-0.060111	-0.0607105	-0.0599987	-0.0599979	-0.0599952	-0.0581703	-0.076674	-0.0976769	-0.0545256	-0.0566476
170	0.034	-0.0601108	-0.060713	-0.0599987	-0.0599979	-0.0599954	-0.0581719	-0.0765873	-0.0976762	-0.0544979	-0.056634
171	0.0342	-0.0601105	-0.0607156	-0.0599987	-0.0599979	-0.0599955	-0.0581734	-0.0765014	-0.0976752	-0.0544702	-0.0566203
172	0.0344	-0.0601103	-0.0607182	-0.0599987	-0.0599979	-0.0599957	-0.0581748	-0.0764165	-0.0976739	-0.0544427	-0.0566066
173	0.0346	-0.0601101	-0.0607208	-0.0599987	-0.0599979	-0.0599959	-0.0581762	-0.0763323	-0.0976723	-0.0544153	-0.0565928
