source	target	weight
W4200399668	W2009740307	1
W4200399668	W2011092139	1
W4200399668	W2014061840	1
W4200399668	W2014729386	1
W4200399668	W2016014744	1
W4200399668	W2017402562	1
W4200399668	W2018959254	1
W4200399668	W2019724270	1
W4200399668	W2020910495	1
W4200399668	W2022437069	1
W4200399668	W2023276512	1
W4200399668	W2025947382	1
W4200399668	W2026014826	1
W4200399668	W2026055416	1
W4200399668	W2032624805	1
W4200399668	W2032957079	1
W4200399668	W2037050168	1
W4200399668	W2037080969	1
W4200399668	W2042023602	1
W4200399668	W2045391660	1
W4200399668	W2046363790	1
W4200399668	W2048690171	1
W4200399668	W2049747725	1
W4200399668	W2052812788	1
W4200399668	W2055592109	1
W4200399668	W2056636841	1
W4200399668	W2061227856	1
W4200399668	W2064257383	1
W4200399668	W2068733876	1
W4200399668	W2069610894	1
W4200399668	W2072002431	1
W4200399668	W2075072522	1
W4200399668	W2075299328	1
W2075444384	W4200399668	1
W4200399668	W2076879580	1
W4200399668	W2078450592	1
W4200399668	W2080662842	1
W4200399668	W2082605003	1
W4200399668	W2084980163	1
W4200399668	W2085214578	1
W4200399668	W2085531075	1
W4200399668	W2086155025	1
W4200399668	W2086265687	1
W4200399668	W2092114155	1
W4200399668	W2093435740	1
W4200399668	W2095276281	1
W4200399668	W2097541219	1
W4200399668	W2098480857	1
W4200399668	W2101864862	1
W4200399668	W2102727091	1
W4200399668	W2103127878	1
W4200399668	W2103458434	1
W4200399668	W2104865505	1
W4200399668	W2106064561	1
W4200399668	W2106150875	1
W4200399668	W2106518363	1
W4200399668	W2109481218	1
W4200399668	W2110198466	1
W4200399668	W2110252881	1
W4200399668	W2113386433	1
W2115162941	W4200399668	1
W4200399668	W2115682148	1
W4200399668	W2115866269	1
W4200399668	W2124834326	1
W4200399668	W2126918678	1
W4200399668	W2127608059	1
W4200399668	W2127735752	1
W4200399668	W2128945098	1
W4200399668	W2129945286	1
W4200399668	W2129994037	1
W4200399668	W2133970449	1
W4200399668	W2136465646	1
W4200399668	W2138851916	1
W4200399668	W2140497618	1
W4200399668	W2141290457	1
W4200399668	W2141974690	1
W4200399668	W2143289029	1
W4200399668	W2143314240	1
